"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10001","Jose","Crisostomo","February 14 1988","17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ","111-111-112","49-1632020-8","382189000000","317-674-022-000","441093000000","Regular","HR Manager","N/A","62670","1500","1000","1000","31335","373"
"10002","Christian","Mata","October 21 1987","90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ","783-776-744","49-2959312-6","824188000000","103-100-522-000","631053000000","Regular","Account Team Leader","Romualdez Fredrick","42975","1500","800","800","21488","256"
"10003","Brad ","San Jose","March 15 1996","99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi","797-009-261","40-2400714-1","239193000000","672-474-690-000","210850000000","Regular","HR Team Leader","Crisostomo Jose","42975","1500","800","800","21488","256"
"10004","Anthony","Salcedo","September 14 1993","93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate","070-766-300","26-9647608-3","126445000000","210-805-911-000","218002000000","Regular","Payroll Manager","Crisostomo Jose","60825","1500","1000","1000","30413","362"
"10005","Alice","Romualdez","May 14 1992","12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ","983-606-799","55-4476527-2","545653000000","888-572-294-000","211386000000","Regular","HR Rank and File","San Jose Brad","22500","1500","500","500","11250","134"
"10006","Rosie ","Atienza","September 24 1948","90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte","266-036-427","41-0644692-3","708988000000","604-997-793-000","260108000000","Regular","HR Rank and File","San Jose Brad","22500","1500","500","500","11250","134"
"10007","Martha","Farala","January 11 1942","42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ","329-034-366","45-5656375-0","233694000000","210-835-851-000","631130000000","Regular","Payroll Rank and File","Farala Martha","24000","1500","500","500","12000","143"
"10008","Leila","Martinez","July 11 1970","37/46 Kulas Roads Maragondon 0962 Quirino ","877-110-749","27-2090996-4","515741000000","275-792-513-000","101205000000","Regular","Payroll Rank and File","Farala Martha","24000","1500","500","500","12000","143"
"10009","Allison ","San Jose","June 24 1986","08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union","179-075-129","45-3251383-0","745148000000","121-203-336-000","114902000000","Regular","Account Rank and File","Mata Christian","22500","1500","500","500","11250","134"
"10010","Cydney ","Rosario","October 6 1996","93A/21 Berge Points Tapaz 2180 Quezon","868-819-912","49-1629900-2","579253000000","122-244-511-000","265104000000","Regular","Account Rank and File","Mata Christian","22500","1500","500","500","11250","134"
"10011","Josie ","Lopez","January 14 1937","49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro","478-355-427","44-8563448-3","431709000000","218-489-737-000","113071000000","Regular","Payroll Team Leader","Salcedo Anthony","38475","1500","800","800","19238","229"
"10012","Selena ","De Leon","February 20 1945","89A Armstrong Trace Compostela 7874 Maguindanao","975-432-139","27-2090208-8","587272000000","482-259-498-000","719008000000","Regular","Account Team Leader","Romualdez Fredrick","41850","1500","800","800","20925","249"
